use_lora,use_oneshot,prompt_kind,prompt_key,ttft_ms,decode_tok_s,output_chars,output_tokens,total_ms
False,False,length,long,156.6,8.2,1103.0,512.0,62536.1
False,False,length,normal,159.4,8.1,991.0,512.0,63183.0
False,False,length,short,161.7,8.4,926.0,512.0,61304.9
False,False,preset,ame,160.0,8.1,1060.0,512.0,63446.7
False,False,preset,ball,156.3,8.2,1027.0,512.0,62742.1
False,False,preset,button,156.1,8.2,1123.0,512.0,63247.6
False,False,preset,neko,151.6,8.2,1008.0,512.0,62839.6
False,True,length,long,236.8,8.1,524.0,279.0,34481.6
False,True,length,normal,225.8,8.1,344.0,172.0,21318.8
False,True,length,short,226.2,8.1,245.0,121.0,15165.6
False,True,preset,ame,233.1,8.0,704.0,310.0,38754.9
False,True,preset,ball,234.3,8.1,375.0,181.0,22503.9
False,True,preset,button,235.1,8.0,578.0,229.0,28832.8
False,True,preset,neko,225.9,8.1,417.0,211.0,26168.1
True,False,length,long,219.0,6.0,1211.0,512.0,84487.0
True,False,length,normal,213.6,6.1,1084.0,512.0,84059.8
True,False,length,short,224.4,6.0,933.0,512.0,84813.6
True,False,preset,ame,209.3,6.1,1142.0,512.0,83414.1
True,False,preset,ball,217.0,6.1,1085.0,512.0,84334.4
True,False,preset,button,215.9,6.2,1134.0,511.0,83193.0
True,False,preset,neko,219.5,6.1,1044.0,512.0,84039.7
True,True,length,long,292.9,6.1,1096.0,512.0,84163.8
True,True,length,normal,280.2,6.0,736.0,346.0,57283.5
True,True,length,short,283.4,6.0,752.0,342.0,56935.7
True,True,preset,ame,287.8,6.1,497.0,214.0,35468.1
True,True,preset,ball,272.4,6.1,445.0,208.0,34428.2
True,True,preset,button,278.1,6.1,734.0,302.0,49639.7
True,True,preset,neko,279.9,6.0,498.0,238.0,39724.5
