use_lora,use_oneshot,prompt_kind,prompt_key,ttft_ms,decode_tok_s,output_chars,output_tokens,total_ms
False,False,length,long,167.8,7.7,1144.0,512.0,66847.9
False,False,length,normal,158.5,8.0,992.0,512.0,64258.8
False,False,length,short,157.5,8.1,943.0,512.0,63071.0
False,False,preset,ame,157.5,8.1,1049.0,512.0,63449.5
False,False,preset,ball,157.7,8.1,1028.0,512.0,63040.6
False,False,preset,button,156.6,8.0,1174.0,512.0,63377.8
False,False,preset,neko,156.2,8.1,1005.0,512.0,63216.8
False,True,length,long,249.2,8.0,630.0,264.0,33196.0
False,True,length,normal,242.0,7.8,360.0,184.0,23594.3
False,True,length,short,245.1,8.1,241.0,121.0,15191.2
False,True,preset,ame,242.8,8.0,676.0,290.0,36144.4
False,True,preset,ball,242.3,8.0,373.0,181.0,22643.0
False,True,preset,button,250.0,8.0,607.0,260.0,32444.1
False,True,preset,neko,244.7,7.9,354.0,180.0,22883.1
True,False,length,long,218.0,6.1,1120.0,512.0,83866.0
True,False,length,normal,214.8,6.1,1127.0,512.0,84060.5
True,False,length,short,222.2,6.0,968.0,512.0,84946.0
True,False,preset,ame,210.7,6.2,1145.0,512.0,82725.3
True,False,preset,ball,217.4,6.2,1094.0,512.0,83055.7
True,False,preset,button,214.6,6.2,1121.0,512.0,83001.8
True,False,preset,neko,220.5,6.1,1080.0,512.0,83790.7
True,True,length,long,296.6,6.1,1044.0,466.0,76822.5
True,True,length,normal,295.8,6.1,916.0,383.0,63566.6
True,True,length,short,297.8,6.0,1110.0,512.0,85147.5
True,True,preset,ame,290.6,6.2,517.0,229.0,37759.4
True,True,preset,ball,296.1,6.1,388.0,182.0,30120.3
True,True,preset,button,290.8,6.2,780.0,343.0,55559.1
True,True,preset,neko,296.5,6.1,998.0,477.0,82327.7
