use_lora,use_oneshot,prompt_kind,prompt_key,ttft_ms,decode_tok_s,output_chars,output_tokens,total_ms
False,False,length,long,153.7,8.1,1167.0,512.0,62941.2
False,False,length,normal,155.8,8.2,1060.0,512.0,62275.1
False,False,length,short,156.3,8.2,931.0,512.0,62384.7
False,False,preset,ame,154.9,8.4,1080.0,512.0,61127.0
False,False,preset,ball,158.1,8.4,1043.0,512.0,61294.1
False,False,preset,button,157.4,8.4,1255.0,518.0,61078.4
False,False,preset,neko,158.1,8.2,1014.0,512.0,62600.8
False,True,length,long,253.8,8.0,647.0,278.0,34918.3
False,True,length,normal,248.0,8.2,359.0,182.0,22282.5
False,True,length,short,244.1,8.2,250.0,126.0,15581.0
False,True,preset,ame,243.0,8.4,664.0,285.0,34192.3
False,True,preset,ball,249.1,8.3,373.0,181.0,21870.0
False,True,preset,button,246.2,8.3,729.0,286.0,34415.1
False,True,preset,neko,250.0,8.2,349.0,172.0,20994.1
True,False,length,long,207.6,6.4,1154.0,512.0,80456.1
True,False,length,normal,202.6,6.4,1023.0,512.0,80257.8
True,False,length,short,208.1,6.3,989.0,512.0,80809.4
True,False,preset,ame,202.6,6.4,1042.0,512.0,79530.6
True,False,preset,ball,205.0,6.4,1104.0,512.0,80008.3
True,False,preset,button,204.5,6.4,1113.0,512.0,79666.0
True,False,preset,neko,206.3,6.4,980.0,512.0,80346.2
True,True,length,long,297.3,6.3,859.0,412.0,65166.5
True,True,length,normal,293.9,6.3,1046.0,512.0,81198.9
True,True,length,short,297.2,6.4,1109.0,512.0,80791.7
True,True,preset,ame,295.8,6.4,677.0,293.0,46083.2
True,True,preset,ball,294.9,6.4,1142.0,496.0,78088.5
True,True,preset,button,296.1,6.4,653.0,265.0,41434.7
True,True,preset,neko,297.8,6.4,1105.0,512.0,80472.9
